sample,description,Plant,Spraydate,Plot,Samplingdate,Timepoint,Day,Leafweight,Square,Treatment,added_spike_copies,sample_id
S224,BLANK-0-KIT1,Blank,NA,KIT1,NA,NA,NA,NA,KIT1-Blank,NA,0,s1
S84,BLANK-1-S-KIT1,Blank,NA,KIT1,NA,NA,NA,NA,KIT1-Blank,NA,70000,s2
S220,BLANK-10-S-KIT3,Blank,NA,KIT3,NA,NA,NA,NA,KIT3-Blank,NA,70000,s3
S40,BLANK-2-KIT1,Blank,NA,KIT1,NA,NA,NA,NA,KIT1-Blank,NA,0,s4
S89,BLANK-3-S-KIT1,Blank,NA,KIT1,NA,NA,NA,NA,KIT1-Blank,NA,70000,s5
S22,BLANK-4-S-KIT1,Blank,NA,KIT1,NA,NA,NA,NA,KIT1-Blank,NA,70000,s6
S35,BLANK-5-S-KIT2,Blank,NA,KIT2,NA,NA,NA,NA,KIT2-Blank,NA,70000,s7
S98,BLANK-6-KIT2,Blank,NA,KIT2,NA,NA,NA,NA,KIT2-Blank,NA,70000,s8
S124,BLANK-7-S-KIT2,Blank,NA,KIT2,NA,NA,NA,NA,KIT2-Blank,NA,70000,s9
S189,BLANK-7b-S-KIT2,Blank,NA,KIT2,NA,NA,NA,NA,KIT2-Blank,NA,70000,s10
S226,BLANK-8-S-KIT3,Blank,NA,KIT3,NA,NA,NA,NA,KIT3-Blank,NA,70000,s11
S199,BLANK-9-KIT3,Blank,NA,KIT3,NA,NA,NA,NA,KIT3-Blank,NA,0,s12
S172,M12,Mustard,3/jan/20,2,2020-01-06,3,5,1.7118816,2-Mustard,Control,70000,s13
S176,M13,Mustard,3/jan/20,12,2020-01-06,3,5,1.5472776,12-Mustard,Spray,70000,s14
S51,M14,Mustard,3/jan/20,4,2020-01-06,3,5,2.523928,4-Mustard,Spray,70000,s15
S152,M16,Mustard,3/jan/20,1,2020-01-06,3,5,1.0404968,1-Mustard,Spray,70000,s16
S154,M17,Mustard,3/jan/20,5,2020-01-06,3,5,1.4345488,5-Mustard,Control,70000,s17
S221,M21,Mustard,3/jan/20,2,2020-01-20,17,19,2.05524,2-Mustard,Control,70000,s18
S78,M22,Mustard,3/jan/20,1,2020-01-20,17,19,2.01564,1-Mustard,Spray,70000,s19
S158,M24,Mustard,3/jan/20,12,2020-01-20,17,19,1.20384,12-Mustard,Spray,70000,s20
S201,M27,Mustard,3/jan/20,4,2020-01-20,17,19,3.16503,4-Mustard,Spray,70000,s21
S72,M28,Mustard,3/jan/20,8,2020-01-20,17,19,2.67795,8-Mustard,Control,70000,s22
S157,M31,Mustard,3/jan/20,5,2020-01-20,17,19,2.44233,5-Mustard,Control,70000,s23
S148,M8,Mustard,3/jan/20,8,2020-01-06,3,5,0.902828,8-Mustard,Control,70000,s24
S95,NTC-1,Blank,NA,PCR,NA,NA,NA,NA,PCR-Blank,NA,0,s25
S190,NTC-2,Blank,NA,PCR,NA,NA,NA,NA,PCR-Blank,NA,0,s26
S236,NTC-3,Blank,NA,PCR,NA,NA,NA,NA,PCR-Blank,NA,0,s27
S169,W10,Wheat,9/jan/20,3,2020-01-31,22,30,1.463,3-Wheat,Control,70000,s28
S20,W12,Wheat,9/jan/20,11,2020-01-31,22,30,1.416,11-Wheat,Spray,70000,s29
S1,W15,Wheat,9/jan/20,1,2020-01-31,22,30,2.321,1-Wheat,Spray,70000,s30
S6,W16,Wheat,9/jan/20,9,2020-01-31,22,30,2.103,9-Wheat,Control,70000,s31
S64,W17,Wheat,9/jan/20,8,2020-01-31,22,30,1.874,8-Wheat,Spray,70000,s32
S73,W23,Wheat,9/jan/20,14,2020-01-31,22,30,1.814,14-Wheat,Control,70000,s33
